,index,blocknum,p0vs1,p1vs0,WETH-slippagemap_01,WETH-slippagemap_2,WETH-slippagemap_3,WETH-slippagemap_4,WETH-slippagemap_5,WETH-slippagemap_6,WETH-slippagemap_7,WETH-slippagemap_8,WETH-slippagemap_9,WETH-slippagemap_10,WETH-slippagemap_11,ZRX-slippagemap_01,ZRX-slippagemap_2,ZRX-slippagemap_3,ZRX-slippagemap_4,ZRX-slippagemap_5,ZRX-slippagemap_6,ZRX-slippagemap_7,ZRX-slippagemap_8,ZRX-slippagemap_9,ZRX-slippagemap_10
43,43,13263326.0,3303.688554420021,0.00030269197096744946,3.846279197597151,8.398110973531361,12.904653607377014,17.366357581475814,21.783669066286063,26.157029747360053,30.48687695965499,34.773643627582295,39.017758316822814,43.21964553224014,47.37972530263515,32608.37951941852,47449.02876837397,62142.01862486137,76688.81811003435,91090.8817020528,105349.64957723899,119466.54715231252,133442.9864054845,147280.36476123618,160980.06549053997
44,44,13273359.0,3307.6551618467456,0.0003023289765918873,3.56060875821369,8.112440534147899,12.618983167993552,17.080687142092355,21.4979986269026,25.87135930797659,30.201206520271526,34.48797318819883,38.73208787743935,42.933975092856684,47.09405486325169,33552.782002805645,48393.431251761096,63086.42110824849,77633.22059342147,92035.28418543993,106294.05206062613,120410.94963569964,134387.38888887165,148224.7672446233,161924.4679739271
45,45,13273865.0,3312.2888902438453,0.00030190603330085183,3.237329332937177,7.789161108871387,12.29570374271704,16.75740771681584,21.174719201626086,25.548079882700076,29.877927094995016,34.16469376292232,38.40880845216284,42.61069566758017,46.770775437975175,34622.9292104359,49463.57845939135,64156.56831587875,78703.36780105173,93105.43139307018,107364.19926825637,121481.0968433299,135457.5360965019,149294.91445225355,162994.61518155734
46,46,13275336.0,3320.2475322053606,0.00030118236375460363,2.698701926703322,7.250533702637531,11.757076336483184,16.218780310581984,20.636091795392232,25.009452476466222,29.33929968876116,33.62606635668846,37.87018104592898,42.07206826134631,46.232148031741325,36409.27923316982,51249.92848212528,65942.91833861268,80489.71782378566,94891.7814158041,109150.54929099031,123267.44686606382,137243.88611923583,151081.2644749875,164780.96520429128
47,47,13277683.0,3314.6081881636246,0.0003016947835858768,3.093593045107586,7.645424821041796,12.15196745488745,16.61367142898625,21.030982913796496,25.404343594870486,29.734190807165422,34.02095747509273,38.26507216433325,42.46695937975058,46.627039150145585,35099.2198233932,49939.86907234865,64632.85892883605,79179.65841400903,93581.72200602748,107840.48988121368,121957.3874562872,135933.8267094592,149771.20506521084,163470.90579451466
48,48,13279192.0,3220.8356932243632,0.00031047842710625975,0.49066432686382494,5.134444621239256,9.732020837787534,14.283852613721743,18.790395247567396,23.2520992216662,27.669410706476445,32.04277138755043,36.372618599845374,40.65938526777268,44.903499957013196,42941.2659160394,57488.065401212385,71890.12899323083,86148.89686841704,100265.79444349055,114242.23369666254,128079.6120524142,141779.312781718,155342.70624469616,168771.14834999313
49,49,13281026.0,3222.4464331867543,0.00031032323445360615,0.39215731716950525,5.035937611544936,9.633513828093214,14.185345604027424,18.691888237873076,23.15359221197188,27.570903696782125,31.944264377856115,36.27411159015105,40.560878258078354,44.80499294731887,43258.63895052538,57805.438435698365,72207.50202771681,86466.26990290302,100583.16747797653,114559.60673114852,128396.98508690018,142096.685816204,155660.07927918216,169088.52138447913
50,50,13282717.0,3275.4000621124524,0.0003053062163511883,1.2357817632198225,5.833357979768101,10.38518975570231,14.891732389547963,19.353436363646765,23.77074784845701,28.144108529531,32.47395574182594,36.76072240975324,41.00483709899376,45.20672431441109,40912.13709470252,55605.126951189915,70151.92643636289,84553.99002838135,98812.75790356754,112929.65547864106,126906.09473181305,140743.47308756472,154443.1738168685,168006.56727984667
51,51,13284617.0,3272.1264628000213,0.0003056116599919799,1.4648518737074931,6.0624280902557715,10.61425986618998,15.120802500035634,19.582506474134433,23.999817958944682,28.373178640018672,32.70302585231361,36.98979252024091,41.23390720948143,45.435794424898766,40162.16801878723,54855.15787527463,69401.9573604476,83804.02095246606,98062.78882765226,112179.68640272577,126156.12565589778,139993.50401164943,153693.20474095322,167256.59820393138
52,52,13285467.0,3182.736791429271,0.00031419500434119474,3.297555025153217,7.9413353195286485,12.538911536076926,17.090743312011135,21.59728594585679,26.05898991995559,30.476301404765838,34.849662085839824,39.17950929813476,43.46627596606207,47.71039065530259,33953.835896823344,48500.635381996326,62902.69897401478,77161.46684920097,91278.36442427449,105254.80367744649,119092.18203319814,132791.88276250195,146355.2762254801,159783.71833077708
