,index,blocknum,p0vs1,p1vs0,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10,USDC-slippagemap_11,WETH-slippagemap_01,WETH-slippagemap_2,WETH-slippagemap_3,WETH-slippagemap_4,WETH-slippagemap_5,WETH-slippagemap_6,WETH-slippagemap_7,WETH-slippagemap_8,WETH-slippagemap_9,WETH-slippagemap_10
4423,4423,16657772.0,0.0005890904600845188,1697.532158060286,16473.383944639456,79404.19673776692,141642.56401080894,203261.67957760213,264267.70588820847,324657.54081591434,379093.36258676334,396923.04501861864,410963.5910446527,422777.2437668617,434473.35450325016,109.81425015053465,149.56351573623556,188.91728892366297,227.83973780411677,266.6606372167432,305.09529622125086,343.1475435258685,381.4436939777242,416.30326282063845,450.447663418485
4424,4424,16661928.0,0.0005890904600845188,1697.532158060286,16481.8852554731,79447.68715341062,141720.69540123254,203374.10727626504,264414.0886585007,324837.54081578663,379306.64533578313,397136.32776763843,411176.8737936725,422990.52651588153,434686.63725226995,109.87075240067502,149.64011884349298,188.9938920309204,227.9163409113742,266.73724032400065,305.1718993285083,343.22414663312594,381.5202970849816,416.3798659278959,450.5242665257424
4425,4425,16663487.0,0.0005877371765619665,1701.4407797880174,24560.218395802323,87491.0311889298,149729.3984619718,211348.514028765,272354.5403393713,332744.3752670772,387180.1970379262,405009.8794697815,419050.4254958156,430864.0782180246,442560.188954413,105.0556701850093,144.80493577071022,184.15870895813762,223.08115783859142,261.90205725121785,300.3367162557255,338.38896356034314,376.6851140121988,411.5446828551131,445.6890834529596
4426,4426,16664247.0,0.0005876784087210944,1701.6109238659963,24836.85206044079,87767.66485356826,150006.03212661028,211625.14769340347,272631.1740040098,333021.0089317157,387456.8307025647,405286.51313442,419327.059160454,431140.711882663,442836.8226190515,104.8930881960007,144.64235378170162,183.99612696912902,222.91857584958282,261.7394752622093,300.1741342667169,338.22638157133457,376.52253202319025,411.3821008661045,445.526501463951
4427,4427,16664905.0,0.0005920431403028294,1689.0661033391946,62611.49751247689,124849.86478551892,186468.9803523121,247475.00666291843,307864.8415906243,362300.6633614733,380130.3457933286,394170.89181936265,405984.54454157164,417680.6552779601,429260.2157182931,77.18024154224403,116.84926327068622,156.59852885638713,195.95230204381454,234.87475092426834,273.6956503368948,312.13030934140244,350.1825566460201,388.47870709787577,423.33827594079
4428,4428,16666418.0,0.0005957845982351996,1678.4589648039662,42479.723951697386,104718.0912247394,166337.20679153258,227343.2331021389,287733.0680298448,342168.8898006938,359998.5722325491,374039.1182585831,385852.7709807922,397548.8817171806,409128.4421575136,89.13719172644481,128.806213454887,168.5554790405879,207.9092522280153,246.8317011084691,285.65260052109556,324.0872595256032,362.13950683022085,400.43565728207653,435.2952261249908
4429,4429,16667225.0,0.0005989504804919226,1669.5871070654996,25805.572411002246,88043.93968404426,149663.05525083744,210669.08156144377,271058.9164891497,325494.7382599986,343324.4206918539,357364.966717888,369178.619440097,380874.7301764855,392454.2906168184,99.0985115268304,138.76753325527258,178.51679884097348,217.87057202840091,256.7930209088547,295.61392032148115,334.0485793259888,372.10082663060643,410.3969770824621,445.2565459253764
4430,4430,16668131.0,0.0005960825501187351,1677.6199870316748,41122.407594113516,103360.77486715555,164979.89043394872,225985.91674455506,286375.7516722609,340811.5734431099,358641.2558749652,372681.8019009993,384495.45462320826,396191.56535959675,407771.1257999297,89.94609684198457,129.61511857042674,169.36438415612767,208.71815734355508,247.64060622400888,286.4615056366353,324.89616464114295,362.9484119457606,401.2445623976163,436.10413124053053
4431,4431,16668935.0,0.0005932283521406177,1685.6915155716663,56101.61884833027,118339.98612137229,179959.10168816548,240965.1279987718,301354.96292647766,355790.78469732666,373620.46712918195,387661.01315521606,399474.66587742505,411170.7766138135,422750.33705414645,81.03834544978822,120.70736717823041,160.4566327639313,199.81040595135872,238.73285483181252,277.55375424443895,315.9884132489466,354.04066055356424,392.3368110054199,427.1963798483342
4432,4432,16669570.0,0.0005883251782907986,1699.7402744264634,20984.348398328053,83915.16119145553,146153.52846449753,207772.64403129072,268778.67034189706,329168.50526960293,383604.3270404519,401434.0094723072,415474.5554983413,427288.2082205503,438984.31895693875,107.15845015769591,146.9077157433968,186.26148893082424,225.183937811278,264.0048372239045,302.4394962284121,340.49174353302976,378.78789398488544,413.6474628277997,447.7918634256462
