,index,blocknum,p0vs1,p1vs0,MKR-slippagemap_01,MKR-slippagemap_2,MKR-slippagemap_3,MKR-slippagemap_4,MKR-slippagemap_5,MKR-slippagemap_6,MKR-slippagemap_7,MKR-slippagemap_8,MKR-slippagemap_9,MKR-slippagemap_10,MKR-slippagemap_11,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10
217,217,16745866.0,884.0940261853308,0.0011311014104628415,3.6722107230738112,13.500662031932356,23.23132349901063,23.322270216071328,23.412312043109267,25.094673181878075,26.760295389974736,28.409345177270342,28.415431572825767,28.42145741092121,28.42742329364434,22744.702784047062,31240.661827471948,39781.33332561848,48237.027922432455,48441.54770062059,48644.03257456299,48844.50278911636,49042.97839211691,49239.4792283429,49434.02494467443
218,218,16746558.0,905.748987145502,0.0011040586455984159,1.5965554115077691,11.327216878586047,11.418163595646739,11.50820542268468,13.190566561453487,14.85618876955015,16.505238556845757,16.51132495240118,16.51735079049662,16.52331667321975,16.529223197613874,24816.441013652762,33397.781530620465,41893.74057404535,50434.41207219188,58890.10666900586,59094.626447193994,59297.111321136385,59497.581535689766,59696.05713869031,59892.5579749163
219,219,16747322.0,908.5610248126362,0.001100641533909316,0.05347447750382929,9.784135944582106,9.8750826616428,9.965124488680742,10.054270429527152,10.142529398076627,10.229910217452082,10.235996613007504,10.242022451102947,10.247988333826077,10.2538948582202,26216.342625728088,34797.683142695794,43293.642186120676,51834.31368426721,60290.00828108118,60494.52805926932,60697.012933211714,60897.483147765095,61095.95875076563,61292.45958699163
220,220,16747954.0,908.5610248126362,0.001100641533909316,0.05347447750382929,14.008668948546275,18.282115947053498,22.51304354874587,26.701874829868025,30.84902864068002,34.95491956621984,34.961005961775264,34.9670317998707,34.972997682593835,34.978904206987956,26216.342625728088,34797.683142695794,43293.642186120676,51834.31368426721,60290.00828108118,60494.52805926932,60697.012933211714,60897.483147765095,61095.95875076563,61292.45958699163
221,221,16748718.0,930.8152793823042,0.0010743270143390934,3.399105656684867,7.63003325837724,11.818864539499396,15.966018350311392,20.07190927585121,20.077995671406633,20.084021509502076,20.089987392225204,20.095893916619328,20.101741672950098,20.10753124600275,17455.847947636878,26210.534303561955,34878.114453104696,43459.454970072395,51955.414013497284,60496.08551164381,68951.78010845778,69156.29988664592,69358.78476058831,69559.2549751417
222,222,16750317.0,924.7849015390564,0.001081332532933624,1.68256740358819,5.956014402095413,10.186942003787784,14.375773284909942,18.522927095721936,22.628818021261754,22.63490441681718,22.64093025491262,22.64689613763575,22.652802662029874,22.658650418360644,32687.476628551467,41355.0567780942,49936.397295061906,58432.35633848679,66973.02783663332,75428.7224334473,75633.24221163544,75835.72708557783,76036.19730013121,76234.67290313175
223,223,16750822.0,897.3649867843354,0.0011143737662235433,6.1747880898049425,20.129982560847388,24.40342955935461,28.63435716104698,32.82318844216914,36.97034225298113,41.07623317852095,41.08231957407637,41.08834541217182,41.09431129489495,41.10021781928907,20688.846735953677,29270.18725292138,37766.14629634627,46306.817794492796,54762.51239130677,54967.03216949491,55169.51704343731,55369.98725799068,55568.462860991225,55764.96369721722
224,224,16751399.0,879.7727772214951,0.0011366571299900952,6.11684708243909,15.945298391297635,29.90049286234008,34.173939860847305,38.40486746253968,42.59369874366183,46.740852554473825,50.84674348001364,50.85282987556907,50.85885571366451,50.86482159638764,20588.561146530817,29084.520189955703,37625.19168810223,46080.88628491621,46285.40606310435,46487.890937046745,46688.361151600126,46886.83675460066,47083.33759082666,47277.88330715819
225,225,16752326.0,917.141333712988,0.0010903444902560044,7.508206478916304,11.781653477423527,16.0125810791159,20.201412360238056,24.348566171050052,28.45445709658987,28.460543492145295,28.466569330240738,28.472535212963866,28.478441737357986,28.484289493688756,27322.075456607126,35989.65560614986,44570.99612311757,53066.95516654245,61607.626664688985,70063.32126150296,70267.84103969109,70470.3259136335,70670.79612818688,70869.27173118741
226,226,16752908.0,912.3848142677303,0.001096028763699436,11.101034148251253,15.374481146758477,19.60540874845085,23.794240029573007,27.941393840385,32.04728476592482,32.05337116148024,32.05939699957568,32.065362882298814,32.071269406692934,32.07711716302371,24035.354344567826,32702.934494110563,41284.275011078265,49780.234054503155,58320.90555264968,66776.60014946366,66981.1199276518,67183.60480159419,67384.07501614757,67582.55061914811
