,index,blocknum,p0vs1,p1vs0,LINK-slippagemap_01,LINK-slippagemap_2,LINK-slippagemap_3,LINK-slippagemap_4,LINK-slippagemap_5,LINK-slippagemap_6,LINK-slippagemap_7,LINK-slippagemap_8,LINK-slippagemap_9,LINK-slippagemap_10,LINK-slippagemap_11,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10
50,50,12930523.0,21.519278312348813,0.04646995988829938,0.8442593696335507,6.0854901276321804,11.274572384419683,16.4120249386851,21.4983615965913,26.53409085605484,31.519716249851026,36.45573632746086,41.342644536738945,46.180929771960464,50.971075555146136,317.9156398597604,427.73170947838,536.4551488590981,644.0968232802704,750.6674967625218,856.1778301079819,960.6383704423696,1064.0595607715006,1166.451744517552,1267.8251616878529
51,51,12935767.0,21.879461573985605,0.04570496383644957,1.7266631765078144,6.915745433295316,12.053197987560733,17.139534645466934,22.17526390493047,27.160889298726662,32.0969093763365,36.98381758561458,41.8221028208361,46.61224860402177,51.354733979467184,301.58529707461946,412.50498286486004,522.3210524834797,631.0444918641978,738.6861662853701,845.2568397676214,950.7671731130815,1055.2277134474693,1158.6489037766003,1261.0410875226517
52,52,12938904.0,23.302140407259742,0.04291451268092315,0.9160621401532248,5.951791399616761,10.93741679341295,15.873436871022786,20.76034508030087,25.59863031552239,30.388776098708064,35.131261474153476,39.82656080867353,44.47514336928166,49.07747409090222,328.44414055381435,442.74166158603646,555.9019589310702,667.9363508840158,778.8560366742564,888.672106292876,997.3955456735941,1105.0372200947663,1211.6078935770179,1317.118226922478
53,53,12940229.0,22.845318330017538,0.04377264459852385,0.8933545238742376,5.9796911817804395,11.015420441243975,16.001045835040166,20.93706591265,25.82397412192808,30.662259357149605,35.45240514033528,40.19489051578069,44.89018985030074,49.53877241090888,325.9052678000823,439.06556514511607,551.0999570980616,662.0196428883022,771.8357125069218,880.5591518876399,988.2008263088122,1094.7714997910637,1200.2818331365238,1304.7423734709114
54,54,12943149.0,22.3840181594285,0.04467473144801682,1.002901969327311,6.140354523592728,11.22669118149893,16.262420440962465,21.248045834758656,26.184065912368492,31.070974121646575,35.90925935686809,40.69940514005377,45.44189051549918,50.13718985001923,320.4109863801821,432.4453783331277,543.3650641233683,653.1811337419879,761.904573122706,869.5462475438783,976.1169210261296,1081.6272543715897,1186.0877947059776,1289.5089850351085
55,55,12944899.0,22.568312467828733,0.04430991468349732,4.004859434374195,9.091196092280397,14.126925351743932,19.112550745540123,24.04857082314996,28.93547903242804,33.77376426764956,38.56391005083523,43.306395426280645,48.001694760800696,52.65027732140883,255.25068903774422,368.410986382778,480.4453783357236,591.3650641259642,701.1811337445838,809.9045731253019,917.5462475464742,1024.1169210287255,1129.6272543741857,1234.0877947085735
56,56,12945619.0,22.568312467828733,0.04430991468349732,1.535873087358314,3.486495253787203,5.417709362938932,7.329708520826555,9.22268392235794,11.096824805955134,12.952318663731694,14.78935092752884,16.6081053119696,18.408763737852055,20.191506170188354,97.88924436595033,141.2864866656317,184.25194157827585,226.7899040349011,268.90462707337906,310.60032382533547,351.88116115077787,392.751267077134,433.2147300472941,473.2755949089753
57,57,12947627.0,23.54102654356551,0.042479031156495206,2.851511363676222,7.068218146861015,11.242970098560614,15.376184563591623,19.46827503547665,23.519650464031116,27.530716011931933,31.50187288576968,35.43351797886111,39.32604452055951,43.1798416886066,231.26575583390496,328.90699885766185,425.57674320658515,521.2846545943452,616.0403057280656,709.8531686123149,802.7326228608698,894.6879600786095,985.7283698233776,1075.8629560119748
58,58,12951534.0,23.50809381130502,0.04253854047149926,3.1683113636593396,7.385018146844133,11.55977009854373,15.692984563574742,19.78507503545977,23.836450464014234,27.84751601191505,31.818672885752793,35.75031797884423,39.64284452054263,43.49664168858972,223.81283896195728,321.4540819857142,418.12382633463744,513.8317377223975,608.587388856118,702.4002517403673,795.2797059889222,887.2350432066619,978.27545295143,1068.410039140027
59,59,12959206.0,23.872902029736604,0.04188849762606902,4.097165842183546,8.271917793883144,12.405132258914156,16.49722273079918,20.548598159353645,24.559663707254465,28.530820581092208,32.46246567418365,36.35499221588204,40.20878938392913,44.0242424877853,203.08150621490742,301.7040099661507,399.34525298990764,496.0149973388309,591.722908726591,686.4785598603114,780.2914227445607,873.1708769931156,965.1262142108553,1056.1666239556234
60,60,12961586.0,24.219141448399384,0.04128965521468098,1.0648579149224717,5.23960986662207,9.372824331653081,13.464914803538106,17.516290232092572,21.52735577999339,25.498512653831135,29.43015774692257,33.32268428862097,37.17648145666806,40.99193456052422,275.99801021884304,374.6205139700863,472.2617569938432,568.9315013427665,664.6394127305266,759.395063864247,853.2079267484963,946.0873809970512,1038.042718214791,1129.083127959559
61,61,12964536.0,23.545734984284486,0.042470536624464955,2.8172310174579986,7.033937800642792,11.208689752342389,15.3419042173734,19.433994689258427,23.48537011781289,27.49643566571371,31.467592539551454,35.399237632642894,39.29176417434129,43.145561342388376,232.0728859496657,329.7141289734226,426.3838733223459,522.0917847101059,616.8474358438264,710.6602987280756,803.5397529766307,895.4950901943703,986.5354999391384,1076.6700861277354
62,62,12967933.0,24.204615048194082,0.04131443520208393,1.1835877193391717,5.358339671038769,9.49155413606978,13.583644607954806,17.63502003650927,21.64608558441009,25.617242458247834,29.54888755133927,33.44141409303767,37.29521126108476,41.110664364940924,273.1232002059372,371.7457039571805,469.3869469809374,566.0566913298607,661.7646027176207,756.5202538513412,850.3331167355905,943.2125709841454,1035.1679082018852,1126.2083179466533
63,63,12969090.0,24.083900047581007,0.041521514290640826,2.2406456761819173,6.415397627881515,10.548612092912526,14.640702564797552,18.69207799335202,22.703143541252835,26.674300415090578,30.605945508182018,34.49847204988041,38.3522692179275,42.16772232178367,247.59995056916696,346.2224543204103,443.8636973441672,540.5334416930905,636.2413530808506,730.997004214571,824.8098670988203,917.6893213473752,1009.6446585651148,1100.685068309883
64,64,12969729.0,23.607030480136448,0.042360262161792235,2.2526063354371066,6.4693131186218995,10.644065070321497,14.777279535352509,18.869370007237535,22.920745435792,26.93181098369282,30.902967857530562,34.834612950621995,38.7271394923204,42.580936660367485,245.38565102894975,343.02689405270667,439.6966384016299,535.40454978939,630.1602009231104,723.9730638073597,816.8525180559146,908.8078552736544,999.8482650184225,1089.9828512070196
