,index,blocknum,p0vs1,p1vs0,SUSHI-slippagemap_01,SUSHI-slippagemap_2,SUSHI-slippagemap_3,SUSHI-slippagemap_4,SUSHI-slippagemap_5,SUSHI-slippagemap_6,SUSHI-slippagemap_7,SUSHI-slippagemap_8,SUSHI-slippagemap_9,SUSHI-slippagemap_10,SUSHI-slippagemap_11,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10
44,44,13197077.0,11.074912462598302,0.09029416741460984,223.09708736916943,811.1082161944662,1393.2687892167187,1969.6370818013622,2540.2706931694056,3105.2267082996145,3664.5615662360146,4218.331250777719,4766.591093565573,5309.395933445174,5846.80003232892,17010.068985946033,23377.9967026693,29682.565661170076,35924.40614896571,42104.14266432722,48222.39233901565,54279.767807734854,54279.767807734854,54279.767807734854,54279.767807734854
45,45,13197710.0,10.796086277711073,0.09262615861680706,390.9306298352119,984.8510500438621,1572.862178869159,2155.022751891411,2731.391044476055,3302.0246558440986,3866.9806709743075,4426.315528910707,4980.085213452412,5528.345056240266,6071.149896119866,15048.065036593161,21352.633995093936,27594.47448288957,33774.21099825108,39892.46067293951,45949.836141658714,45949.836141658714,45949.836141658714,45949.836141658714,45949.836141658714
46,46,13198475.0,10.55589858946563,0.09473376345221435,471.13331904462024,1071.0224487061978,1664.942868914848,2252.953997740145,2835.1145707623973,3411.482863347041,3982.116474715084,4547.072489845294,5106.407347781693,5660.177032323398,6208.4368751112515,14092.163966101913,20334.004453897545,26513.74096925905,32631.990643947483,38689.366112666685,38689.366112666685,38689.366112666685,38689.366112666685,38689.366112666685,38689.366112666685
47,47,13199392.0,10.648130924586212,0.09391319538446229,206.3440892243565,806.2332188859341,1400.1536390945844,1988.1647679198811,2570.3253409421336,3146.6936335267774,3717.3272448948205,4282.283260025029,4841.61811796143,5395.3878025031345,5943.647645290988,16899.57460975255,23141.415097548186,29321.151612909693,35439.40128759813,41496.776756317326,41496.776756317326,41496.776756317326,41496.776756317326,41496.776756317326,41496.776756317326
48,48,13200123.0,10.623669587826228,0.09412943350063431,277.1635621850571,877.0526918466347,1470.973112055285,2058.9842408805816,2641.144813902834,3217.5131064874777,3788.1467178555213,4353.10273298573,4912.43759092213,5466.207275463835,6014.467118251689,16146.311164379858,22388.151652175493,28567.888167537,34686.13784222543,40743.51331094463,40743.51331094463,40743.51331094463,40743.51331094463,40743.51331094463,40743.51331094463
49,49,13201330.0,10.066239353936773,0.09934196524036688,93.75580751947399,711.9133507921435,1323.9204268874155,1929.8382266553615,2529.727356316939,3123.647776525589,3711.658905350886,4293.819478373139,4870.187770957782,5440.821382325826,6005.777397456034,17594.554679858236,23651.930148577438,23651.930148577438,23651.930148577438,23651.930148577438,23651.930148577438,23651.930148577438,23651.930148577438,23651.930148577438,23651.930148577438
50,50,13201873.0,10.280882797649253,0.09726791168445692,61.4568313995191,673.4639074947911,1279.381707262737,1879.2708369243146,2473.191257132965,3061.202385958262,3643.362958980514,4219.731251565157,4790.364862933201,5355.32087806341,5914.65573599981,18093.68253252666,24211.932207215094,30269.307675934295,30269.307675934295,30269.307675934295,30269.307675934295,30269.307675934295,30269.307675934295,30269.307675934295,30269.307675934295
51,51,13203951.0,10.436250617007618,0.0958198530006871,212.71090022958816,818.6286999975341,1418.5178296591116,2012.438249867762,2600.449378693059,3182.609951715311,3758.978244299955,4329.6118556679985,4894.567870798207,5453.902728734607,6007.672413276312,16686.62100163796,22866.357516999466,28984.607191687897,35041.9826604071,35041.9826604071,35041.9826604071,35041.9826604071,35041.9826604071,35041.9826604071,35041.9826604071
52,52,13204702.0,10.48855991895379,0.09534197332399354,60.61797282930108,666.535772597247,1266.4249022588247,1860.345322467475,2448.3564512927715,3030.517024315024,3606.8853168996675,4177.518928267711,4742.4749433979205,5301.80980133432,5855.579485876025,18277.90262872458,24457.639144086086,30575.888818774518,36633.264287493716,36633.264287493716,36633.264287493716,36633.264287493716,36633.264287493716,36633.264287493716,36633.264287493716
53,53,13205817.0,10.642808455970947,0.09396016137441324,222.56167228718726,822.4508019487649,1416.371222157415,2004.3823509827118,2586.5429240049643,3162.911216589608,3733.5448279576513,4298.500843087861,4857.835701024261,5411.605385565965,5959.8652283538195,16726.92245018142,22968.76293797705,29148.499453338558,35266.74912802699,41324.124596746195,41324.124596746195,41324.124596746195,41324.124596746195,41324.124596746195,41324.124596746195
