,index,blocknum,p0vs1,p1vs0,WBTC-slippagemap_01,WBTC-slippagemap_2,WBTC-slippagemap_3,WBTC-slippagemap_4,WBTC-slippagemap_5,WBTC-slippagemap_6,WBTC-slippagemap_7,WBTC-slippagemap_8,WBTC-slippagemap_9,WBTC-slippagemap_10,WBTC-slippagemap_11,DAI-slippagemap_01,DAI-slippagemap_2,DAI-slippagemap_3,DAI-slippagemap_4,DAI-slippagemap_5,DAI-slippagemap_6,DAI-slippagemap_7,DAI-slippagemap_8,DAI-slippagemap_9,DAI-slippagemap_10
265,265,13503153.0,61731.29407105647,1.6199239219721186e-05,0.00014532603791118635,0.0016709217703612118,0.003181338316699209,0.0046767267210868204,0.006157236503062813,0.007623015699039092,0.009074210874161683,0.010510967130180918,0.011933428129594732,0.01334173612324654,0.01473603190691511,271.2814781218582,362.8490670580067,453.50558884418115,543.2601082783382,632.121599384212,720.0989481671076,807.2009507350332,893.4363174646686,978.8136708012477,1063.3415474696053
266,266,13508961.0,61466.432609632226,1.6269042427611015e-05,0.00046885603789377283,0.0019944517703437982,0.0035048683166817953,0.005000256721069407,0.0064807665030453985,0.007946545699021678,0.009397740874144269,0.010834497130163503,0.01225695812957732,0.013665266123229127,0.015059561906897697,251.35146094377248,342.91904987992103,433.57557166609547,523.3300911002525,612.1915822061263,700.1689309890219,787.2709335569475,873.5063002865829,958.883653623162,1043.4115302915197
267,267,13573417.0,66379.43999029926,1.5064905641658632e-05,0.0006792068462987463,0.0021449860422750257,0.0035961812173976163,0.005032937473416851,0.006455398472830666,0.007863706466482474,0.009258002250151044,0.010638425251610682,0.012005113497246733,0.013358203641194121,0.014697830987783626,246.40052880480542,341.70487191627024,436.06096787763596,529.478251618085,621.9660640877709,713.5336530239194,804.1901748100938,893.9446942442509,982.8061853501247,1070.7835341330203
268,268,13589865.0,66705.48109284848,1.4991271835789373e-05,0.0003191355561315168,0.0017849147521077963,0.003236109927230387,0.0046728661832496216,0.006095327182663437,0.007503635176315244,0.008897930959983815,0.010278353961443453,0.011645042207079502,0.012998132351026892,0.014337759697616397,270.3625441382849,365.66688724974966,460.02298321111545,553.4402669515645,645.9280794212503,737.4956683573989,828.1521901435733,917.9067095777303,1006.7682006836042,1094.7455494664996
269,269,13599738.0,66638.81228509979,1.5006269855496757e-05,0.0003915455561276194,0.001857324752103899,0.0033085199272264894,0.004745276183245725,0.006167737182659539,0.0075760451763113475,0.008970340959979917,0.010350763961439555,0.011717452207075605,0.013070542351022995,0.0144101696976125,265.5344209370791,360.83876404854396,455.1948600099097,548.6121437503588,641.0999562200446,732.6675451561932,823.3240669423676,913.0785863765246,1001.9400774823985,1089.917426265294
270,270,13626104.0,60466.653697186186,1.653804103345866e-05,0.00019899825173641598,0.0017399257014920676,0.003265521433942093,0.00477593798028009,0.006271326384667702,0.007751836166643693,0.009217615362619972,0.010668810537742563,0.0121055667937618,0.013528027793175613,0.014936335786827421,265.4240839411986,356.080605727373,445.83512516153,534.6966162674039,622.6739650502993,709.7759676182251,796.0113343478604,881.3886876844396,965.9165643527972,1049.6034161798084
271,271,13643842.0,60327.747142663924,1.6576120398382946e-05,0.0003729682517270522,0.0019138957014827036,0.0034394914339327294,0.0049499079802707265,0.006445296384658338,0.00792580616663433,0.009391585362610609,0.0108427805377332,0.012279536793752434,0.01370199779316625,0.015110305786818058,254.9161554735406,345.57267725971496,435.32719669387205,524.1886877997458,612.1660365826414,699.2680391505671,785.5034058802024,870.8807592167816,955.4086358851392,1039.0954877121505
272,272,13644993.0,55102.587725074314,1.814796802265154e-05,0.0012535863530867197,0.0028573970369205723,0.004445250327214431,0.006017305002816762,0.007573718251339479,0.009114645701095131,0.010640241433545156,0.012150657979883153,0.013646046384270765,0.015126556166246757,0.016592335362223036,196.9799261225921,284.0819286905178,370.3172954201532,455.6946487567323,540.22252542509,623.9093772521012,630.4225447527348,636.870908368647,643.2551129382692,649.575796745122
273,273,13647453.0,56922.748226565745,1.756766901028334e-05,0.0002365746012969653,0.001824427891590824,0.0033964825671931554,0.004952895815715872,0.006493823265471523,0.00801941899792155,0.009529835544259546,0.011025223948647158,0.012505733730623149,0.01397151292659943,0.01542270810172202,255.78559088680265,343.76293966969814,430.8649422376239,517.1003089672593,602.4776623038384,687.0055389721961,770.6923907992073,777.2055582998407,783.653921915753,790.0381264853753
274,274,13648640.0,56922.748226565745,1.756766901028334e-05,1.859712721267093e-05,0.00014341825962825702,0.0002669974630895447,0.0003893470941132477,0.0005104793866395725,0.0006304064530107718,0.0007491402837025592,0.0008666927522950798,0.0009830756125178885,0.0010983005015119515,0.001212378940762038,20.107302926060516,27.023201497502026,33.8702891111075,40.64925048950579,47.360763443034976,54.00549904356367,60.58412168911835,67.09728918975182,73.54565280566402,79.92985737528637
