,index,blocknum,p0vs1,p1vs0,YFI-slippagemap_01,YFI-slippagemap_2,YFI-slippagemap_3,YFI-slippagemap_4,YFI-slippagemap_5,YFI-slippagemap_6,YFI-slippagemap_7,YFI-slippagemap_8,YFI-slippagemap_9,YFI-slippagemap_10,YFI-slippagemap_11,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10
269,269,15927384.0,6934.473692035735,0.00014420705080307725,0.00828394186674813,0.02980272056658142,0.05110739457431949,0.07220009397355513,0.09308292787127603,0.11375798464404734,0.1342273312068985,0.154493014640551,0.17455706107879396,0.19442147688480443,0.2140882483402371,388.98280348823306,534.9135618111197,679.3923580726475,822.433637641477,964.0517039102449,1104.2607162668785,1243.074694225741,1380.5075197853632,1516.5729342526774,1651.2845425461205
270,270,15927961.0,6565.363621722973,0.00015231448821681048,0.002633362785362215,0.024807452668624996,0.04676091750645934,0.06849595261016429,0.09001473130999758,0.11131940531773565,0.1324121047169713,0.1532949386146922,0.1739699953874635,0.19443934195031468,0.21470502538396719,416.1407623337533,557.7588286025211,697.9678409591546,836.7818189180173,974.2146444776395,1110.2800589449537,1244.9916672383968,1378.3629378827811,1378.3629378827811,1378.3629378827811
271,271,15929553.0,6356.065246980457,0.0001573300400707914,0.016688601879583025,0.03908553369608271,0.06125962357934549,0.08321308841717984,0.10494812352088478,0.12646690222071807,0.14777157622845616,0.1688642756276918,0.18974710952541268,0.210422166298184,0.23089151286103518,322.27507185918256,462.48408421581604,601.2980621746786,738.7308877343008,874.796302201615,1009.5079104950582,1142.8791811394426,1142.8791811394426,1142.8791811394426,1142.8791811394426
272,272,15931242.0,6333.225689918347,0.00015789742051856246,0.02071213691120416,0.04310906872770384,0.06528315861096662,0.08723662344880097,0.10897165855250592,0.13049043725233922,0.15179511126007728,0.1728878106593129,0.19377064455703383,0.21444570132980512,0.2349150478926563,296.7458418547713,436.9548542114048,575.7688321702674,713.2016577298896,849.2670721972039,983.978680490647,1117.3499511350312,1117.3499511350312,1117.3499511350312,1117.3499511350312
273,273,15932025.0,6056.9836211536685,0.00016509867989531246,0.0034291934259441407,0.026508178949446386,0.0493575360869171,0.07197954965782116,0.09437648147432084,0.11655057135758362,0.13850403619541796,0.16023907129912293,0.18175784999895622,0.20306252400669428,0.22415522340592994,395.6535987551731,531.7190132224873,666.4306215159305,799.8018921603148,799.8018921603148,799.8018921603148,799.8018921603148,799.8018921603148,799.8018921603148,799.8018921603148
274,274,15934072.0,6243.30949127297,0.00016017146056876102,0.01442435497564668,0.037046368546550745,0.05944330036305043,0.0816173902463132,0.10357085508414755,0.12530589018785251,0.1468246688876858,0.16812934289542386,0.1892220422946595,0.2101048761923804,0.2307799329651517,334.23668435403357,473.0506623128962,610.4834878725184,746.5489023398326,881.2605106332758,1014.6317812776601,1014.6317812776601,1014.6317812776601,1014.6317812776601,1014.6317812776601
275,275,15934926.0,5887.982084937384,0.00016983747327597968,0.013189911310524197,0.0365008327229706,0.05957981824647284,0.08242917538394356,0.10505118895484762,0.12744812077134732,0.1496222106546101,0.17157567549244443,0.19331071059614938,0.21482948929598267,0.23613416330372075,334.2074560114839,468.919064304927,602.2903349493114,602.2903349493114,602.2903349493114,602.2903349493114,602.2903349493114,602.2903349493114,602.2903349493114,602.2903349493114
276,276,15936219.0,5776.59433550732,0.00017311238108815144,0.012297276167222673,0.03584246432250937,0.05915338573495577,0.08223237125845802,0.10508172839592873,0.1277037419668328,0.15010067378333247,0.17227476366659525,0.1942282285044296,0.21596326360813456,0.23748204230796785,336.8019515101448,470.1732221545291,470.1732221545291,470.1732221545291,470.1732221545291,470.1732221545291,470.1732221545291,470.1732221545291,470.1732221545291,470.1732221545291
277,277,15937513.0,5967.408039123003,0.00016757694353124284,0.020813609580702226,0.04389259510420447,0.06674195224167519,0.08936396581257924,0.11176089762907893,0.1339349875123417,0.15588845235017607,0.177623487453881,0.1991422661537143,0.22044694016145236,0.24153963956068802,291.1338897615045,427.19930422881873,561.9109125222619,695.2821831666462,695.2821831666462,695.2821831666462,695.2821831666462,695.2821831666462,695.2821831666462,695.2821831666462
278,278,15939988.0,6443.738145442333,0.00015518942226218515,0.001195919111028426,0.02359285092752811,0.04576694081079089,0.06772040564862523,0.08945544075233018,0.11097421945216347,0.13227889345990154,0.15337159285913718,0.1742544267568581,0.19492948352962938,0.21539883009248056,421.42756791581303,561.6365802724465,700.4505582313091,837.8833837909314,973.9487982582456,1108.6604065516888,1242.0316771960731,1242.0316771960731,1242.0316771960731,1242.0316771960731
