block,reserve USDT,reserve USDC,price,volume for slippage 5%
11639527,21479481.71976,21130021.855361,0.9998389144871773,20276736
11639718,21369698.074419,21149459.588968,0.9998980503915383,20300288
11639877,21532949.800054,21101674.003467,0.9998014907116467,20246016
11640037,21730584.023968,21104642.826539,0.9997144632057852,20243968
11640131,21695224.092138,21118748.434504,0.9997368051416524,20260352
11640224,21891030.456354,21196467.309763,0.9996874524713194,20342272
11640344,21666072.375548,21376710.429465,0.9998695777614154,20542464
11640383,21780624.715563,21010587.863172,0.999648842473987,20146688
11640444,21134128.654137,21275823.518806,1.0000657283005265,20447744
11640522,21602026.665059,21048706.309218,0.9997461355527163,20191744
11640628,21446364.656117,20962204.513918,0.9997753919611025,20103680
11640715,21742783.336309,20875478.12694,0.9996013106238905,20002304
11640831,21764546.079364,20943383.677797,0.9996240704202519,20075008
11640984,20116010.30933,22686895.499914,1.0011803363914642,21978112
11641091,20807700.540803,22058268.413807,1.000569252184375,21292032
11641192,20893237.814617,21857287.903143,1.0004408055711627,21074944
11641343,21153198.378066,21784892.058156,1.000286232678744,20990976
11641420,21253716.091533,22015316.432881,1.0003402430568455,21234688
11641557,21411651.170748,22157985.576402,1.0003291496371953,21382144
11641721,21607786.860835,21992736.393227,1.0001695300776647,21199872
11641789,21469698.956465,22058973.782409,1.000260460813931,21273600
11641855,21536310.662728,21619423.962284,1.0000373661292183,20800512
11641912,21447643.991638,21875504.035273,1.0001908967450148,21076992
11642013,21650992.850678,21981679.637223,1.0001455596906765,21183488
11642086,21540637.147129,21766436.910532,1.0001007427327189,20958208
11642125,21507530.78348,21965349.742519,1.0002032027312246,21169152
11642307,21592069.882023,21975782.441072,1.0001695551356942,21177344
11642418,21547093.97646,21892271.052074,1.0001534483176315,21089280
11642600,21812802.583646,21833552.76989,1.0000091388517096,21019648
11642711,21792239.341867,21772053.760258,0.999991079398481,20954112
11642806,22061733.597785,21902696.508501,0.9999307541763189,21081088
11642935,21866820.584022,21900287.059219,1.0000147004687472,21083136
11642990,21903628.428281,21835644.670372,0.9999701189154895,21015552
11643048,21787690.543341,21971443.338182,1.0000807090393844,21163008
11643112,21832126.174487,21889224.395167,1.000025112282544,21074944
11643336,21871259.197037,21862174.81552,0.9999960062022163,21044224
11643414,21920693.443375,21850967.076867,0.9999693658912886,21029888
11643479,21847226.414427,21606768.413948,0.9998929155381846,20769792
11643548,21708678.718391,21552620.059924,0.9999298921157942,20716544
11643666,22039298.94541,21442686.431573,0.9997345789681118,20589568
11643834,22169694.305049,21427182.840739,0.9996711983996726,20569088
11643924,22323499.725652,21461809.007376,0.9996214821132349,20601856
11644017,22184583.99,21402018.88787,0.9996537629476617,20544512
11644144,22451874.1781,21341013.335409,0.9995126934036501,20471296
11644299,22803141.733337,21561181.738676,0.9994673248929438,20691968
11644378,22669517.548551,21583039.323929,0.9995320269642017,20720640
11644464,22623143.846206,21700750.864074,0.9996041652600868,20849664
11644547,22530580.394448,21699197.289783,0.9996419362043656,20849664
11644769,21550698.654752,21831932.026734,1.0001254480527704,21023744
11644882,22151962.151847,21471078.151989,0.999699339181801,20620288
11645088,22147033.495603,21581513.74007,0.9997514197794789,20737024
11645211,22664817.563953,22193944.178937,0.999800300060463,21353472
11645347,22743978.934933,22007169.774309,0.9996859934376301,21150720
11645496,22921573.389147,22078075.980967,0.9996436869110067,21218304
11645610,22917447.729664,22076639.21038,0.9996447379245085,21216256
11645785,22782907.707557,22045883.849642,0.9996865479347199,21189632
11645883,22756835.606373,21183578.716717,0.9993037564044397,20266496
11645974,22507668.317144,21509607.198572,0.9995597781070348,20620288
11646063,22602020.401778,21571899.168477,0.9995487047101803,20683776
11646138,22463590.993788,21565512.31244,0.9996040763005625,20681728
11646265,22288770.362974,21575156.533119,0.9996831707622482,20696064
11646431,22126562.603524,21592679.490778,0.9997614770967189,20720640
11646645,22214249.150356,21470466.226739,0.9996671470642495,20587520
11646757,21714626.857958,21054280.861095,0.999695459776187,20175360
11646817,22110729.348722,20945207.002012,0.9994689696147,20047360
11646916,22204871.343977,21033282.212746,0.9994705505982558,20138496
11647116,22270259.057954,21090098.283442,0.999469558051931,20197888
11647292,22252866.974774,21211548.675366,0.999533950145161,20326912
11647469,22215163.331621,21128006.080086,0.9995108386233532,20238848
11647722,22276220.488612,21137416.0864,0.9994884536921176,20244992
11647901,22592313.980142,21175537.1725,0.9993728683968066,20275712
11648060,22699859.227148,21315329.25658,0.9993939008034329,20423168
11648330,22687188.827833,21624747.059851,0.999538106492918,20741120
11648404,23054632.632648,21550578.537956,0.9993533688155074,20651008
11648597,22945803.391458,21611041.923247,0.9994252630931308,20718592
