block,reserve DAI,reserve USDC,price,volume for slippage 5%
11217461,26735320.263372548,76521731.380012,1.0087208153860512,77813760
11217636,26744667.13597812,75842454.65201,1.0086244825356865,77113344
11217796,26735289.32003955,75710288.393647,1.0086146814503434,76978176
11217934,26741180.047698185,75874080.961257,1.0086380452497403,77146112
11218086,26513296.207948603,75860909.759071,1.0087994801143372,77113344
11218264,26336023.600483734,76057635.118735,1.0089288255113418,77309952
11218515,26223378.24509487,75520562.283436,1.0089141775417494,76756992
11218589,26194662.59946986,75719942.949909,1.0089382075517832,76969984
11218788,26277927.631405205,75644286.135319,1.008859442737098,76900352
11219015,26337734.974991698,75600600.422139,1.00881343165552,76859392
11219203,26361925.59559741,75598874.990817,1.0087966477127492,76859392
11219335,26400660.68452535,75342363.50225,1.00874196541871,76593152
11219525,26390758.56593873,75333492.487905,1.0087478669557024,76584960
11219623,26387833.090830293,75169435.36725,1.008724669308177,76417024
11219700,26127395.134137716,75451945.187398,1.008934078237932,76695552
11219850,26155460.296571285,75606594.631646,1.0089391982190001,76855296
11219957,26012518.694078617,75607091.097175,1.0090234122321264,76851200
11220008,27193218.831666306,75677665.502568,1.0083365002293945,76961792
11220096,29149250.282773003,78436962.405631,1.0076862819057624,79853568
11220148,28244974.519033894,78997343.644393,1.0082808580154534,80381952
11220248,28128175.011482056,80908394.230905,1.00863358052606,82333696
11220320,27809346.8655625,81885345.961122,1.0089342770075937,83324928
11220459,27536110.179413237,81842763.424175,1.0091112563579363,83267584
11220530,28269075.369427513,82041381.554431,1.0087227103651075,83488768
11220603,28248227.067269698,82107911.925254,1.0087436399390313,83562496
11220671,27983933.217035785,82170072.120623,1.008921738538794,83603456
11220775,27847100.968762856,79741511.566729,1.0087940136016331,81065984
11220949,27423304.218491554,79979365.199392,1.0090748557254174,81291264
11221010,28666604.674074084,80996420.811391,1.0083822735651264,82423808
11221222,28636945.842540048,81211798.491862,1.0084337338808618,82644992
11221460,28390997.48610892,81378698.181289,1.0085853346810048,82808832
11221670,28390997.48610892,81372146.996687,1.008583556812791,82800640
